areaServicioDescripcion,observaciones
Arbolado Urbano,"Se solicita recorte de raíces por dos Plátanos que levantan la vereda. Tienen reporte en Citymis (rte: 803466) que data del  09-2019 , sin respuesta al dia de la fecha.
INFORME TECNICO GIANNA  06/11/24: NO REQUIERE INTERVENCION.EJEMPLAR SANO
INFORME POR GIANNA 8/11/2024 son 2 platanos. ex 100/20 RR superficial con poda hacer pn de 1,8 x 2,8. y la1 100/20 RR sup con poda tmb pn de 1,8 x 2,8 m2. hay que arreglar 5 m2 aprox de V6R. 
INFORME GIANNA 11/11/2024: son 2 platanos. ex 100/20 RR superficial con poda hacer pn de 1,8 x 2,8. y la1 100/20 RR sup con poda tmb pn de 1,8 x 2,8 m2. hay que arreglar 5 m2 aprox de V6R. "
Arbolado Urbano,"Este domicilio tiene autorizado en el 923202 el siguiente trabajo ""Informe del Ing. Sencio del 01/11/21. Autorizado recorte de raices x 1 Ligustro"" por lo que le sugerimos comunicarse con Arbolado al 4512-3341/3377 para su realización..Copio mail recibido de la contribuyente:.De: elba mirta karlic [mailto:elkar1@outlook.com] .Enviado el: viernes, 25 de marzo de 2022 07:48 a.m..Para: spublicos@sanisidro.gov.ar.Asunto: Re: Acompaño nota enviada.Señor ingeniero Sencio.Por medio de la presente, me dirijo a usted para aclarar la situación en que se encuentra mi reclamo originado el 26 de junio de 2014..En el expediente ingresado, me refiero al Fresno que se encuentra sobre la calle Independencia s/n, ya que el domicilio de la propiedad es L.M.Drago 1793, Esq.Independencia, de Villa Adelina. .El mismo,causa rajaduras, en la propiedad,.acá es donde surge la confusión y en lugar de realizarse los trabajos que solicito, se realiza sobre los libustros, ubicados sobre la calle Drago 1793..Cuando hago los reclamos personalmente o telefónicamente,  me piden el domicilio, pero aclaro que el problema está sobre Independencia.  Parece que no se entiende que en una esquina se tiene árboles por las dos calles que la componen. Cosa que aclaro en todo momento. Desde ya agradezco a usted el trabajo autorizado sobre los libustros que también han levantado la vereda. Reporte 923202..Pero necesito que usted,  por favor me resuelva el tema ya que al no resolverse se esta complicando la situación de la propiedad. .Desde ya muy agradecida,  a la atención que preste a mi pedido..Tengo ahora número de reporte 2013828..Del 18 de marzo de 2022..Saludo atte. .Elba Karlic de Isarelli.DNI 5590480"
Arbolado Urbano,SOLICITA REPARACION DE VEREDA EN LA CALLE MAESTRA VICENTE RAVELO 152
Arbolado Urbano,Vereda totalmente rota por las raíces que aun no han sido cortadas C.J.De San Martin 2887. entre Sarratea y 14 de Julio. Vecina solicita que pase alguien que analice trabajo a realizar.
Arbolado Urbano,Vecina informa raíces dañando la vereda
Arbolado Urbano,"la vecina informa que raíces han levantado la vereda de su domicilio, y se encuentra al lado del jardín storyland."
Arbolado Urbano,"Se solicta inspección por un pozo en la base del árbol que esta en la vereda , para verificar si se debe a una perdida de agua de algun caño de AYSA que proque el socavado . Desde ya se agradece sun gestión."
Arbolado Urbano,Se solicita reparacion de vereda rota por recorte de raíces (ya realizado) quedo inconclusa la reparación de vereda dentro del reporte numero 752796 de Citymis.
Arbolado Urbano,"Vecina infoma que sacaron un árbol de la vereda hace cinco años, y al dia de la fecha la vereda cintunua sin reparar. Tiene un reporte en Citymis numero 599761
INFORME TECNICO CAROLINA 27/11/24: Reparacion de vereda y plantera"
Arbolado Urbano,"Vecina solicita una poda debido a que el árbol suelta racimos que provoca que los vecino al caminar sobre,se caen."
Arbolado Urbano,RR x 3
Arbolado Urbano,"Jose manuel estrada 2706.solicita corte de raíces por vereda en mal estado
Informe Ing. Sencio. 05/12/2023. Real: 2706 esquina Pasteur Rb de limpieza y RR x Liquidambar con grúa 15 mts. 
"
Arbolado Urbano,Vecino informa que ya realizaron el recorte de raíces y solicita la reparación de vereda.
Arbolado Urbano,Se solicita extracción de forestación por rotura de vereda y caños.
Obras Públicas,Se solicita reparación de bache.
Arbolado Urbano,RR X 1 Tilo exp. 3900/2022
Arbolado Urbano,"chubut 1700.árbol obstruyendo la calle, vecina solicita la extraccion"
Arbolado Urbano,SIENDO LAS 15:59 HORAS EL AGENTE SAMUDIO NICOLAS DE PROTECCION CIVIL EN RECORRIDA POR LA ARTERIA AVENIDA MARQUEZ 1043 (CATASTRAL FRENTISTA) DE LA LOCALIDAD DE SAN ISIDRO VISUALIZO UNA RAMA DE GRAN PORTE SOSTENIDA POR LAS RAMAS DEL PROPIO ARBOL. SE ADJUNTA FOTOGRAFIA DEL INCIDENTE. SE REGISTRA EVENTO S.G.E NUMERO 687.918 - CAROLINA GALVÁN - 69.285
Arbolado Urbano,"Se solicita reperacion de vereda, ya que se encuentra en mal estado porque las raíces rompen todo. Posteriormente solicta que le reparen la vereda.Tiene un reporte preexistente en citymis numero 759666."
Obras Públicas,Vecino informa que en la cuadra mencionada se acumula agua constantemente.
Arbolado Urbano,"Vecina informa que luego de que el árbol se derribo,se daño toda la vereda..El árbol ya se removió del todo."
Arbolado Urbano,"Las raices de dos arboles que se encuentran emplazados en la calle Julian Navarro 2464/2468 / 2476 Beccar rompieron la vereda y van avanzando y rompiendo dentro del espacio donde se guardan los coches dentro de la propiedad . Mi vivienda esta en Navarro 2468. Arregle la vereda e hice canteros el año pasado. Las raices ya lo rompieron y rompieron la vereda, incluso rompio y se va metiendo dentro de donde esta ubicado el poste de luz. Necesito que saquen el  arbol/ arboles antes de que terminen de destruir todo. Para el caso de que decidan otra solucion, como cortar las raices ( cosa que parece peligroso en su estabilidad) ruego lo poden y lo curen. Gracias"
Arbolado Urbano,Vecina informa que se encuentra un arbol inclinado a la vereda. corrientes 2843
Arbolado Urbano,"Por medio del Expte. 4819/2022, vecino solicita recorte de raices y reparacion de vereda. manifiesta que las raices estan provocando daños importantes en su propiedad."
Arbolado Urbano,"VECINO SOLICITA EL RECORTE DE RAICES DE UN ARBOL QUE ESTA EN LA VEREDA DE SU CASA LAS MISMAS LE ESTAN ROMPIENDO TODO, AYSA YA FUE AL LUAGRA PERO NO PUEDEN HACER NADA HASTA QUE CORTEN LAS RAICES."
Obras Públicas,Vecina manifiesta que la canaleta se encuentra mal hecha y el agua queda acumulada sobre su frente y el de su vecina.
Arbolado Urbano,"VECINO SOLICITA RECORTE DE RAICES , LAS MISMAS LEVANTARON LA VEREDA Y ROTURA DE CAÑERIA DE GAS .
INFORME GIANNA 20/11:agrandar cinta verde de largo 0,8 mas aprox. arreglar v6r 3m2"
Arbolado Urbano,"Primera Junta 351/349 
El primer pedido de corte de raíces, documentado, data del año 1998. Reiterado en numerosas oportunidades, sin respuesta. Las raíces han seguido creciendo, han entrado en el conducto cloacal y lo han descalzado. Cuando contacté a la autoridad responsable, me informó que primero tenían que achicar y balancear la copa del plátano, para luego proceder a cortar las raíces. Los dos árboles, un tilo y un plátano, están lozanos y en muy buen estado. Ahora comienza la época adecuada para proceder a los cortes y luego reparar las veredas destruidas."
Arbolado Urbano,"Buenas tardes, mi nombre es Catalina y te hablo de un comercio ubicado en la calle España 857, San Isidro. Somos un Catering y este seria la plata de producción, oficinas del mismo..Me comunicaba para averiguar si pueden venir a retirar un abrol ubicado en la vereda de donde estamos. Que esta haciendo que se levante todo el piso producto de las raices que van creciendo...Mismo también tenemos unas ramas para que remuevan de un arbol..Quedo atenta al reclamo y adjunto imagenes para que puedan ver bien en detalle..Mi numero de contacto es 1166429470...Espero respuestas. Muchas gracias!"
Arbolado Urbano,Real 959. Vecina manifiesta que tiene un árbol sobre su frente cuyas raíces levantan y rompen su vereda.
Obras Públicas,
Arbolado Urbano,"empezaron a arreglar mi vereda sin previo aviso, soy usuaria de silla de ruedas y no puedo salir de mi casa. necesito que me dejen un tramo de la vereda libre para poder salir"
Arbolado Urbano,"Se solicita reparación de vereda rota en ocación de trabajos de raleo de raíces realizados hace ya un año, tiene un reporte en  Citymis numero 888499 con fecha de ingreso 23-03-2021 que al día de la fecha no fue resuelto."
Obras Públicas,"Buenos dias!!! Queria pedir si pueden areglar el cordon de mi casa ya que por micros que doblan ,los cuales salen de estudios Pama y camiones con acoplado que  transportan arena los cuales   vienen por castro barros y doblan en hipolito yrigoyen se suben a la vereda por no poder girar bien . tanto el cordon y la vereda se fueron rompiendo. Espero una contectacion . Gracias!!!!"
Arbolado Urbano,El vecino solicita la el raleo de raíces y reparación de vereda
Arbolado Urbano,Rama peligrosa a punto de caerse colgando
Arbolado Urbano,"SEGUN SGE NUMERO 704310 SIENDO LAS 11;24 HORAS SE COMUNICO LA VECINA MARIA INES CON TELEFONO DE CONTACTO NUMERO 15-4436-6664 PARA INFORMAR QUE EN LA ARTERIA JACINTO DIAZ 2177 DE LA LOCALIDAD DE SAN ISIDRO SE ENCUENTRA UNA RAMA DE MEDIANO PORTE CON RIESGO DE CAIDA Y TAMBIEN HAY CABLES. SE DESPLAZO LA UNIDAD DE DEFENSA CIVIL A CARGO DEL AGENTE SAMUDIO NICOLAS QUIEN A SU ARRIBO INFORMO  EN LA ARTERIA JACINTO DIAZ  2162 SE ENCUENTRA UNA RAMA MEDIANA PARTIDA COLGANDO DEL ARBOL, PROCEDIERON A REALIZAR VALLADO PREVENTIVO QUEDANDO MEDIA ARTERIA CORTADA, AGREGO QUE NO HAY CABLES CON RIESGO."
Arbolado Urbano,"Por medio del Expte.7281/2022, vecino solicita recorte de raices de dos ejemplares que tiene en su vereda y los cuales provocan daños en la misma."
Higiene Urbana,La vecina reclama por el estado del contenedor que se encuentra en Jacinto Díaz esq. Esnaola ya que se encuentra roto y sin tapa.Y solicita su reubicación
Arbolado Urbano,"Se solicita extracción por un ejemplar aparentemente seco y en mal estado, con riesgo de caerse (según dichos de la vecina)
INFORME POR GIANNA 11/11/2024: mutilado y seco"
Arbolado Urbano,"Vecino solicita balanceo de un ejemplar luego de hacerse recorte de raices. Trabajos autorizados por el ingeniero ""Informe Ing. Sencio. Rb de limpieza x 2 Ficus con 3ra grúa."" Reporte 905569."
Arbolado Urbano,"Necesito que corten las raíces de los árboles del frente de mí domicilio que me levantaron toda la vereda. También solicito me reparen la vereda que las raíces destruyeron.
Informe Ing. Alejandro Sencio  01/02/23 Rb de limpieza y RR x 2 Fresnos con grúa 15 mts.
info caro 14/1: RQ - rama quebrada, poda

 "
Arbolado Urbano,"Vecino informa de un ejemplar muy inclinado que esta descalzado.
info romina 14/1.Se procedio a realizar la poda solicitada pero se detecto pudricion en ramas primarias y fuste, extraccion urgente"
Arbolado Urbano,vecina pide reparacion de su vereda que se encuentra en mal estado devido a las raices del arbol. ya tiene reclamos hechos anteriores por la misma situación
Arbolado Urbano,VECINA SOLITA PODA DE ALTURA Y RECORTE DE RAIZ
Arbolado Urbano,"Pino de gran altura cada vez mas vencido por socabado de la tierra con peligro de caida, levantamiento de la vereda cada vez mayor en cada tormenta que hay.-"
Arbolado Urbano,Vecino informa que su árbol esta arrojando líquidos
Arbolado Urbano,Se solicita raleo de raíces por un ejemplar que levanta la vereda en la salida del garage.
Obras Públicas,"nuevamente recuerdo que: se acumula agua con lluvias fuertes, se ha reventado el pavimento porque el declive esta mal calculado. POr la acumulacion de tierra y agua, el barrendero ya no pasa. La calle parece abandonada. ES URGENTE"
Arbolado Urbano,vecina reclama que las raices del arbol le esta rompiendo la vereda de su domicilio. anteriormente cuando le hicieron la vereda nueva quedo en mal estado
Arbolado Urbano,"Hola.En la vereda de nuestra casa hay dos ejemplares de árboles , que no sabemos que son, desde que nos mudamos a este domicilio los mismos estaban en bastante malas condiciones, tratamos de recuperarlos pero no tuvimos éxito. Aparentemente parece que uno ya esta seco y el otro va por el mismo camino. Queríamos saber cual es el procedimiento a seguir, si nosotros los sacamos y colocamos otros o si se hace cargo el municipio..Desde ya muchas gracias..Saludos."
Arbolado Urbano,Recorte realizado
Arbolado Urbano,"vecina solicita recorte de raiz y poda. 
Informr tecnico Occhipinti 31/10/24:repetido el reclamo

"
Arbolado Urbano,santa fe 430.solicita corte de raices por vereda en mal estado
Arbolado Urbano,"Vecino solicita reparacion de vereda luego del recorte de raices realizado, Tiene reclamo anterior 685175 con autorizacion del ingeniero e imagenes de la cooperativa del recorte realizado. Informe del Ing Sencio solicitado por Via Publica: Real 2015. Autorizado RR superficial x 5 sauces. Derivo a Cooperativa Rocio para su realizacion"
Arbolado Urbano,"En la vereda hay un tilo grande y sus raíces rompieron la vereda. Necesitamos que se solucione el problema cuanto antes pues el daño se sigue agrandando. Muchas gracias
informe carolina 15/11/2024: Corte de raices y reparacion de vereda"
Obras Públicas,"Hola, desde el año 2019 que hiceron las veredas, el cordon no lo hicieron, cae el barro de los arboles que estan plantados. Solucion por favor, gracias!!!"
Arbolado Urbano,Vecina reitera reclamo por raleo de raices(Jacarandá).-Rompió vereda y pilares de la casa.-
Arbolado Urbano,solicita recorte de raices de los dos arboles que estan sobre martin lezica 3093 
Arbolado Urbano,"Real 861. Vecino solicita la reparación de la vereda ya que fue realizado el recorte de raíces , tiene el expediente 9196/2022"
Obras Públicas,El incidente #3382506 NO se ha sido solucionado. Sigue habiendo agua. Adjunto fotos y video
Arbolado Urbano,Blas parera 381.árbol levanta demasiado la vereda
Arbolado Urbano,vecina solicita extracion
Arbolado Urbano,Real 2225. Vecina manifiesta que tiene 2 árboles sobre su frente cuyas raíces levantan y rompen la vereda de su domicilio.
Arbolado Urbano,"recortar las raices, esta levantando la vereda, me da miedo que se caigan y se lastimen."
Arbolado Urbano,Vecina reitera reporte por raleo de raices(levantan vereda y se cae la gente) Reporte 870610
Arbolado Urbano,"Vecina solicita liberacion de cables por una palmera frente a su domicilio. Comenta ademas que hay varias hojas invadiendo su techo. 
INFORME TECNICO GIANNA 23/1/25: NO REQUIERE INTERVENCION"
Arbolado Urbano,"Se solicita lieberación de cables por un ejemplar que afecta la bajada de luz, dejando sin luz al domicilio.
"
Arbolado Urbano,"arbol de moras inclinado, riesgo de caer. Solicita con ur

gencia revision.
Informe Ing. Sencio. 19/08/202. Real: Estanislao Diaz 82. Tareas a realizar: 
Rb de limpieza x Mora
INFORME ING. SENCIO 04/11/24:raleo y balanceo de limpieza leve "
Higiene Urbana,solicita que se regularice correctamente el servicio
Obras Públicas,"Vecina manifiesta que las cuadras se encuentran llena de baches, solicita por favor que las reparen. Desde el 800 al 1000"
Arbolado Urbano,El vecino solicita el recorte de raíces y posterior reparación de la vereda de su local comercial. (25 de mayo 156)
Arbolado Urbano,Vecina solicita reparacion de vereda luego de un recorte de raices realizado. Tiene reclamo previo por 715025. 
Arbolado Urbano,"En el frente de Godoy Cruz 1555, hay un paraíso muy añoso (grande) seco desde hace un par de años, me dirijo a ustedes para solicitar su tala ya que en el estado en que se encuentra se va a caer sobre algún vehiculo o persona en cualquier tormenta o viento fuerte.  Gracias"
Arbolado Urbano,Vecina solicita reparacion de vereda luego del recorte de raices realizado. Tiene reclamo previo por reparacion 748041. 
Arbolado Urbano,"Se solicita raleo para liberación de auxiliar de vereda , no alumbra bien ."
Arbolado Urbano,"Hay dos arboles que estan huecos con peligro de caerse sobre las propiedades , hemos realizados infinidades de reclamos en caso de hacer caso de no tener solucion los haremos responsables por los daños 
informe ing sencio 14/11/2024: seco x 2. extracción"
Arbolado Urbano,Vecina solicita recorte de raices por dos ejemplares que dañan mucho la vereda.
Arbolado Urbano,Vecina solicita la extraccion de 2 ejemplares que se encuentran en muy mal estado. Uno sobre Acassuso y el otro sobre Uriburu
Arbolado Urbano,Se solicita liberación de lumionaria por un ejemplar .
Arbolado Urbano,Recorte de raices por levantamiento de vereda
Arbolado Urbano,"Vecino solicita reparacion de vereda luego de un recorte de raices, Tiene reclamo anterior con numero 735535. "
Arbolado Urbano,"le hicieron Recorte de raices antes de la pandemia, solicita reparacion de vereda
Informe tecnico iNG. Sencio 16/10/24:REPARACION DE VEREDA"
Arbolado Urbano,"rodriguez peña 417/439
solicita corte de raices por vereda en malas condiciones "
Arbolado Urbano,"vereda levantada y rota por las raíces de los arboles,peligro para los transeguntes.
Informe Ing. Sencio. 19/04/2023: Rb de limpieza y RR x 2 Fresnos con grúa 15 mts.

"
Arbolado Urbano,Solicita que verifiquen dos arboles del lugar que rompio todo el cordon y esta rompiendo la calle. 
Arbolado Urbano,"Vecina solicita extracción por 1 Ficus que según nos comenta las raíces estarían levantando la vereda, como así también se encontrarían cerca del caño de salida pluvial.
Se procede a cargar R/R ya que la problemática por la que se comunica la vecina es por raices."
Arbolado Urbano,Ya hice un reclamo hace aprox 2 años por las raices del arbol que tengo en la puerta de mi casa. Me levanto la vereda y necesito arreglarla.
Arbolado Urbano,"Reparación de vereda luego de una extracción
Informe Ing. Sencio. 19/06/2024. Real: Manzone.	295. Tareas a realizar: RR leve y reparación de vereda leve x 2 Naranjos.


"
Arbolado Urbano,Fractura del cordón por deterioro o raices de los árboles
Obras Públicas,Vecina manifiesta que el asfalto se encuentra lleno de baches.
Obras Públicas,vecina solicita el arreglo del cordon y de la calle.
Arbolado Urbano,"Se solicita raleo de raíces, y posterior reparación de vereda,  por dos ejemplares , y extracción de tocon pendiente."
Arbolado Urbano,"Vecina solicita R/R por 1 Ejemplar. Nos comenta que la vereda se encuentra en muy mal estado debido a las raíces. Además nos comenta que corren riesgo los caños.
Informe Ing. Sencio. 12/07/2023. Real: 1575	Rb de limpieza y RR x 1 con grúa 15 mts. 
"
Arbolado Urbano,VECINO SOLICITA EL RECORTE DE RAICES DEL ARBOL QUE ESTA EN SU VEREDA. YA LE CORTARON LAS RAICES HACE 5 AÑOS PERO VOLVIERON A CRECER.
Arbolado Urbano,"lar raices rompieron las conexionas con agu, solicita con urgenica RR."
Arbolado Urbano,"VECINO SOLICITA RECORTE DE RAICES , LAS MISMAS LEVANTARON LA VEREDA Y CAÑOS DE AYSA
informe carolina 9/12: Reparacion de vereda"
Arbolado Urbano,"Solicita reparacion de vereda luego de un recorte de raices. El recorte de raices se realizo en el año 2019 N°730619
Reclamos realizados:
3641552
3112013
2887150"
Arbolado Urbano,"Solicita revisión, ya que las raíces se meten en su propiedad, ademas de romper totalmente la vereda-"
Arbolado Urbano,"solicita revision, las raices se meten en el domicilio. haiti 2846"
Arbolado Urbano,"REFERENTE A EVENTO SGE NUMERO 763029, SIENDO LAS 20:30 HORAS SE COMUNICA VECINO SEÑOR NICOLAS ESPINOZA  CON TELEFONO DE CONTACTO 4723-4915, INFORMANDO QUE EN LA ARTERIA JACINTO DIAZ 2177 DE LA LOCALIDAD DE SAN ISIDRO, SE CAYO UN ARBOL QUEDANDO EL MISMO CORTANDO LA ARTERIA. SE DESPLAZO LA UNIDAD DE DEFESAN CIVIL A CARGO DEL AGENTE CHIARELLO ALEJANDRO, QUIEN A SU ARRIBO INFORMA POSITIVO SE TRATA DE UN ARBOL DE MEDIANO PORTE CAIDO SOBRE LA CALZADA. AGREGANDO QUE QUEDARON CABLES A BAJA ALTURA. SE ADJUNTAN FOTOGRAFIAS. DIAZ GIMENA-71038."
Arbolado Urbano,"el árbol esta hueco y es peligroso (como el que había y sacaron que se partió y cayo arriba de mi casa).
ademas me tapa la salida a la cloaca con las raices


Los 2 paraisos que estan en la puerta de mi casa son arboles muy peligrosos. Los mismos no gozan de buena salud, y hay peligro de que una de sus grandes ramas caigan sobre mi domicilio, los cables de energía o sobre los autos. Además las raíces estan levantando y hundiendo la vereda e ingresaron a la salida de la cañería a la cloaca. Tengo que contratar periódicamente limpieza de la cañería y los contratistas siempre sacan raices que ingresan y taponan la descarga, causando que se me llene la camara septica.
Informe Ing. Sencio. 05/12/2023. Real:782 Rb de limpieza x 2 Paraísos con grúa 15 mts. 
"
Arbolado Urbano,"Real 1558. Vecino manifiesta que tiene un árbol sobre el frente de su domicilio cuyas ramas se encuentran entre los cables, tapan la luz e ingresan a su domicilio."
Obras Públicas,"Tapas rotas, baldosas sueltas, bajada de cordón rota"
Higiene Urbana,el vecino. se acerco a la Delegacion de Beccar solicitando que pase el barrendero por French  esq Pasaje Parodi.  Que se encuentra una obra de construccion y vuela mucho polvo.
Arbolado Urbano,Recorte de raices
Higiene Urbana,"La persona que barre la calle pasa cada 15 días y no recoge lo que ya está juntado en la calle por él mismo. Como ser hojas, pequeñas ramas de podas y tierra."
Obras Públicas,"Vecino tiene reclamos 3633266 y 3743817 por reparación de vereda 
informa que las raices levantan toda la vereda, adjuntando fotos en los mismos reportes 
Monseñor Alberti 518"
Obras Públicas,"Hola, en el mes de agosto año 2022 hice un reclamo sin respuesta, en el año 2019 cuando realizaron la vereda no terminaron de hacer el cordon, de echo toda la cuadra, curupayti 500/600 esta sin cordon, que es lo que esta pasando para que no puedan hacerlo? tiene que haber elecciones ? ESPERO SOLUCION URGENTE !!!! GRACIAS"
Obras Públicas,Catamaeca 1665 .Hormigón hundido..15.cm.bache profundo
Arbolado Urbano,informe carolina 9/12: Recorte de raiz y reparacion de vereda
Arbolado Urbano,vecina solicita recorte de raiz y poda
Arbolado Urbano,"la vecina informa que hace un año esta reclamando la reparacòn de su vereda, ya que las raóces estan rompiendo la entrada a su domicilio.
Informe Ing. Sencio. 10/11/2023. Real: 301 RR x Palo Borracho. Cooperativa El Rocio. 
"
Arbolado Urbano,"Ampliación del reclamo 3917543
Existe un reclamo anterior,  el 3320138,  que no fue atendido completamente, ya que se cortaron algunas ramas  superiores pero no se intervino en las raíces. Por otra parte, de continuar el desmedido crecimiento del árbol las ramas y troncos afectarán el tendido de cables en poco tiempo."
Arbolado Urbano,Se solicta raleo de raíces por  2 ejemplares que levantan la vereda .
