areaServicioDescripcion,observaciones
Arbolado Urbano,pedimos varias veces desde el mes de Mayo de 2021 recorte de raíces. Cómo no vinieron ya no podemos esperar más para arreglar la vereda. En ese caso preguntamos si Uds se encargan de arreglar la vereda ya que hay una parte que se hundió por un arreglo de AySA.
Obras Públicas,"Vivo en Ituzaingo 688 y, sin previo aviso, me informan que nos quedaremos sin entrada por obras en la plaza. Estoy embarazada de casi 8 meses y necesito cuidados especiales de salud. Necesitamos ayuda para poder estacionar en nuestra cuadra por cualquier emergencia que podamos tener. Ya hicimos varios reclamos. Adjunto foto con mensaje a Posse. Gracias"
Arbolado Urbano,Vecina solicita RR
Arbolado Urbano,"La contribuyente viene reclamando desde el día 01-12-2017 bajo reporte de Citymis N° 615263, que se recorten las raíces de un árbol que se encuentra en la puerta de su domicilio. El mismo le ha dañado la vereda en mas de una oportunidad, la que tuvo que reconstruir al menos 2 veces para encontrarse en la actualidad otra vez dañada, también ha debido reparar algún caño de agua debido al estrangulamiento de las raíces de dicho árbol, y además le ha levantado la guía del portón de su casa, por lo cual su garage es inaccesible. El día 01-02-2019 se genera un reporte nuevo, también de Citymis, bajo el N° 741744. Ambos siguen ""en proceso"" en dicha plataforma..La vecina solicita que se solucioné su problema de manera urgente debido a que van 5 años del reclamo original."
Obras Públicas,"SIENDO LAS 18:21 HORAS MONITOREO VISUALIZA QUE EN LA ARTERIA PARANA Y AV FLEMING DE LA LOCALIDAD DE MARTINEZ,  DONDE SE ENCUENTRAN REALIZANDO LA REPAVIMENTACION,  QUEDANDO  CAIDA EN LA MITAD DE LA CALZADA  UNA RED CON LA  QUE SEÑALIZAN LA OBRA.  REFERENTE A EVENTO SGE NUMERO 664960. DIAZ GIMENA;LEGAJO:71038."
Arbolado Urbano,"vecina solicita la poda o raleo de un arbol que esta en la puerta de su casa y las ramas estan entrando por la ventana y tocando el techo sin dejarla poder dormir. dejo un telefo de linea de la vecina, ya que no posee correo electronico."
Arbolado Urbano,Vecino solicita  RR y LFT  x 4 reporte 897496
Arbolado Urbano,"Vecino solicita recorte de raices.-
INFORME TECNICO CAROLINA 27/11/24: Poda y corte de raices, reparacion de vereda"
Arbolado Urbano,Poda altura
Arbolado Urbano,"Árbol enfermo, con hormigas en su interior"
Arbolado Urbano,Se solicita raleo de raices por rotura de caños y vereda
Arbolado Urbano,"Buenas tardes: hago mediante este reclamo una solicitud de poda de árbol que impide la visión correcta de la salida de mi vehículo, adjunto foto para que vean que al salir de mi casa el Árbol de aguacate de mi vecino de  bogota 1568, no me permite observar correctamente los autos que se acercan de la calle Cuyo y hasta al momento, gracias a Dios no tuve ningún Accidente automovilístico. Por eso solicitud a la municipalidad que se acerquen a podar dicho árbol, ya que con la vecina lindante y dueña del arbol, no se puede realizar una conversación adecuada ya que amenaza e insulta diciendo que su hija trabaja en la municipalidad, dándose así atribuciones de ser dueña de la vereda y hacer lo que se le da la gana..Por eso deseo que en la brevedad se acerquen a podar dicho árbol que es un peligro para la libre circulación de la gente. .Saluda Atte. vecina y abogada del municipio Margarita Escobar. Tª49 Fª 336 C.A.S.I
Informe tecnico Occhipinti 15/10/24:Poda: Limpieza , Balanceo, Refaldeo y Eliminacion de interferencia de la  prop"
Arbolado Urbano,"Solicito la poda de una tipa que está en la vereda de mi propiedad que se está inclinando, levanta la vereda y sus ramas se extienden sobre el techo barriendo y rompiendo las tejas que caen en la vereda con el consiguiente peligro para nosotros y quienes transitan por ahí. He intentado varias veces solicitar que se haga pero primero por la pandemia y más recientemente porque sólo aceptan este tipo de  reclamo en marzo no he conseguido que se ocupen del tema. Nosotros no podemos hacerlo porque la municipàlidad lo prohíbe. Hago responsable al municipio por los daños que pueda ocasionar a propiedades y personas en el caso de que ese árbol no sea tratado como corresponde."
Arbolado Urbano,"869916 (número de reclamo anterior) solicita una pronta solución. .Vecina solicita RR ya que el municipio esta realizando veredas pero las raices siguen levantando.
Informe Ing Sencio 31/07/2024: recorte de raíces leve
Informe Ing Sencio 5/10/2024: Reparación de vereda."
Arbolado Urbano,Poda x 2
Arbolado Urbano,"Este domicilio tiene vigente el reporte 811559 desde noviembre de 2019 con mas de 60 reiteraciones..De: Jazmin Renom [mailto:mjazzre@hotmail.com] .Enviado el: lunes, 21 de marzo de 2022 09:07 p.m..Para: spublicos@sanisidro.gov.ar; asencio@sanisidro.gov.ar.Asunto: Reparación de vereda.Muy buenas noches. Adjunto fotos de como tengo la vereda, hace dos años. Vengo realizando el reclamo desde octubre / noviembre del año 2019 y así me la dejaron. Me retiraron los arboles y los tacones, para que pudieran arreglar la vereda como corresponde.  Número de reclamo es: 811559. Realice más de 60 llamados, y lo iban a notificar pero acá sigo esperando. . Ya se cayeron dos personas y  nadie de la municipalidad se hizo cargo, las raíces están volviendo a crecer, entrando a la cochera de mi casa y rompiendo la misma.  .Espero una pronta solución, sino tendré que tomar medidas judiciales a la brevedad..Muchas Gracias..Mariela Renom."
Arbolado Urbano,Vecina solicita recorte de raíces por un ejemplar.
Arbolado Urbano,Se solicita reorte de raíces por un árbol quer levanta la vereda. Tiene un reporte en Citymis numero 782387
Arbolado Urbano,"Este domicilio tiene autorizado en el 923202 el siguiente trabajo ""Informe del Ing. Sencio del 01/11/21. Autorizado recorte de raices x 1 Ligustro"" por lo que le sugerimos comunicarse con Arbolado al 4512-3341/3377 para su realización..Copio mail recibido de la contribuyente:.De: elba mirta karlic [mailto:elkar1@outlook.com] .Enviado el: viernes, 25 de marzo de 2022 07:48 a.m..Para: spublicos@sanisidro.gov.ar.Asunto: Re: Acompaño nota enviada.Señor ingeniero Sencio.Por medio de la presente, me dirijo a usted para aclarar la situación en que se encuentra mi reclamo originado el 26 de junio de 2014..En el expediente ingresado, me refiero al Fresno que se encuentra sobre la calle Independencia s/n, ya que el domicilio de la propiedad es L.M.Drago 1793, Esq.Independencia, de Villa Adelina. .El mismo,causa rajaduras, en la propiedad,.acá es donde surge la confusión y en lugar de realizarse los trabajos que solicito, se realiza sobre los libustros, ubicados sobre la calle Drago 1793..Cuando hago los reclamos personalmente o telefónicamente,  me piden el domicilio, pero aclaro que el problema está sobre Independencia.  Parece que no se entiende que en una esquina se tiene árboles por las dos calles que la componen. Cosa que aclaro en todo momento. Desde ya agradezco a usted el trabajo autorizado sobre los libustros que también han levantado la vereda. Reporte 923202..Pero necesito que usted,  por favor me resuelva el tema ya que al no resolverse se esta complicando la situación de la propiedad. .Desde ya muy agradecida,  a la atención que preste a mi pedido..Tengo ahora número de reporte 2013828..Del 18 de marzo de 2022..Saludo atte. .Elba Karlic de Isarelli.DNI 5590480"
Arbolado Urbano,SOLICITA REPARACION DE VEREDA EN LA CALLE MAESTRA VICENTE RAVELO 152
Arbolado Urbano,Vereda totalmente rota por las raíces que aun no han sido cortadas C.J.De San Martin 2887. entre Sarratea y 14 de Julio. Vecina solicita que pase alguien que analice trabajo a realizar.
Arbolado Urbano,"la vecina informa que raíces han levantado la vereda de su domicilio, y se encuentra al lado del jardín storyland."
Arbolado Urbano,"Se solicta inspección por un pozo en la base del árbol que esta en la vereda , para verificar si se debe a una perdida de agua de algun caño de AYSA que proque el socavado . Desde ya se agradece sun gestión."
Arbolado Urbano,"Vecina infoma que sacaron un árbol de la vereda hace cinco años, y al dia de la fecha la vereda cintunua sin reparar. Tiene un reporte en Citymis numero 599761
INFORME TECNICO CAROLINA 27/11/24: Reparacion de vereda y plantera"
Arbolado Urbano,"Vecina solicita una poda debido a que el árbol suelta racimos que provoca que los vecino al caminar sobre,se caen."
Obras Públicas,Se solicita reparación de bache en la entrada de garage. Entre las calles Cordoba y Mñor. Larumbe .
Arbolado Urbano,RR x 3
Arbolado Urbano,"Jose manuel estrada 2706.solicita corte de raíces por vereda en mal estado
Informe Ing. Sencio. 05/12/2023. Real: 2706 esquina Pasteur Rb de limpieza y RR x Liquidambar con grúa 15 mts. 
"
Arbolado Urbano,"El árbol paraíso de Moreno 532 (que tiene más de 25 años) está seco por dentro y es un peligro para mi familia y propiedad. NUMERO DE RECLAMO VIEJO. 00008484. 
*Esta levantada la vereda
*Rompió los caños de desagüe de la casa
*Por el diámetro del árbol y lo angosto de la vereda es difícil caminar (gente mayor, cochesitos y sillas de rueda) deja poco espacio.
*Tiene cables de electricidad enredados
*Esta hueco y seco por dentro, es muy inestable
*No me permite entrar el auto al garage"
Arbolado Urbano,"Hola tengo un arbol en la puerta de mi casa cortado a medias hace 15 meses.... queda un tronco de 4 metro para quitar, necesito que lo vengan a sacar URGENTE por favor."
Arbolado Urbano,Vecino solicita recorte de raíces por un ejemplar que daño mucho la vereda y el paredón del frente de la propiedad. Informa que inicio un expediente respecto a esto con numero 10333/2921
Obras Públicas,
Arbolado Urbano,Se solicita extracción de forestación por rotura de vereda y caños.
Obras Públicas,Se solicita reparación de bache.
Arbolado Urbano,RR X 1 Tilo exp. 3900/2022
Arbolado Urbano,Se solicita raleo de raíces por un 1 Roble que levanta la vereda.
Arbolado Urbano,"chubut 1700.árbol obstruyendo la calle, vecina solicita la extraccion"
Arbolado Urbano,SIENDO LAS 15:59 HORAS EL AGENTE SAMUDIO NICOLAS DE PROTECCION CIVIL EN RECORRIDA POR LA ARTERIA AVENIDA MARQUEZ 1043 (CATASTRAL FRENTISTA) DE LA LOCALIDAD DE SAN ISIDRO VISUALIZO UNA RAMA DE GRAN PORTE SOSTENIDA POR LAS RAMAS DEL PROPIO ARBOL. SE ADJUNTA FOTOGRAFIA DEL INCIDENTE. SE REGISTRA EVENTO S.G.E NUMERO 687.918 - CAROLINA GALVÁN - 69.285
Arbolado Urbano,"Se solicita reperacion de vereda, ya que se encuentra en mal estado porque las raíces rompen todo. Posteriormente solicta que le reparen la vereda.Tiene un reporte preexistente en citymis numero 759666."
Arbolado Urbano,"Las raices de dos arboles que se encuentran emplazados en la calle Julian Navarro 2464/2468 / 2476 Beccar rompieron la vereda y van avanzando y rompiendo dentro del espacio donde se guardan los coches dentro de la propiedad . Mi vivienda esta en Navarro 2468. Arregle la vereda e hice canteros el año pasado. Las raices ya lo rompieron y rompieron la vereda, incluso rompio y se va metiendo dentro de donde esta ubicado el poste de luz. Necesito que saquen el  arbol/ arboles antes de que terminen de destruir todo. Para el caso de que decidan otra solucion, como cortar las raices ( cosa que parece peligroso en su estabilidad) ruego lo poden y lo curen. Gracias"
Arbolado Urbano,"elcano 546.solicita reparación de vereda luego de corte de raíces realizado hace cuatro años, número de reporte en sistema anterior 513342"
Arbolado Urbano,"Por medio de Expte.3862/2022, administrador del edificio solicita evaluacion de lkos arboles que rodean el edifio ya que se encuentran muy frondoso."
Arbolado Urbano,"Por medio del Expte. 4819/2022, vecino solicita recorte de raices y reparacion de vereda. manifiesta que las raices estan provocando daños importantes en su propiedad."
Arbolado Urbano,"VECINO SOLICITA EL RECORTE DE RAICES DE UN ARBOL QUE ESTA EN LA VEREDA DE SU CASA LAS MISMAS LE ESTAN ROMPIENDO TODO, AYSA YA FUE AL LUAGRA PERO NO PUEDEN HACER NADA HASTA QUE CORTEN LAS RAICES."
Obras Públicas,Vecina manifiesta que la canaleta se encuentra mal hecha y el agua queda acumulada sobre su frente y el de su vecina.
Arbolado Urbano,"VECINO SOLICITA RECORTE DE RAICES , LAS MISMAS LEVANTARON LA VEREDA Y ROTURA DE CAÑERIA DE GAS .
INFORME GIANNA 20/11:agrandar cinta verde de largo 0,8 mas aprox. arreglar v6r 3m2"
Arbolado Urbano,RR x 1
Arbolado Urbano,"Primera Junta 351/349 
El primer pedido de corte de raíces, documentado, data del año 1998. Reiterado en numerosas oportunidades, sin respuesta. Las raíces han seguido creciendo, han entrado en el conducto cloacal y lo han descalzado. Cuando contacté a la autoridad responsable, me informó que primero tenían que achicar y balancear la copa del plátano, para luego proceder a cortar las raíces. Los dos árboles, un tilo y un plátano, están lozanos y en muy buen estado. Ahora comienza la época adecuada para proceder a los cortes y luego reparar las veredas destruidas."
Arbolado Urbano,"Buenas tardes, mi nombre es Catalina y te hablo de un comercio ubicado en la calle España 857, San Isidro. Somos un Catering y este seria la plata de producción, oficinas del mismo..Me comunicaba para averiguar si pueden venir a retirar un abrol ubicado en la vereda de donde estamos. Que esta haciendo que se levante todo el piso producto de las raices que van creciendo...Mismo también tenemos unas ramas para que remuevan de un arbol..Quedo atenta al reclamo y adjunto imagenes para que puedan ver bien en detalle..Mi numero de contacto es 1166429470...Espero respuestas. Muchas gracias!"
Arbolado Urbano,Real 959. Vecina manifiesta que tiene un árbol sobre su frente cuyas raíces levantan y rompen su vereda.
Arbolado Urbano,"Se solicita reparación de vereda rota en ocación de trabajos de raleo de raíces realizados hace ya un año, tiene un reporte en  Citymis numero 888499 con fecha de ingreso 23-03-2021 que al día de la fecha no fue resuelto."
Arbolado Urbano,El vecino solicita la el raleo de raíces y reparación de vereda
Arbolado Urbano,Rama peligrosa a punto de caerse colgando
Arbolado Urbano,"SEGUN SGE NUMERO 704310 SIENDO LAS 11;24 HORAS SE COMUNICO LA VECINA MARIA INES CON TELEFONO DE CONTACTO NUMERO 15-4436-6664 PARA INFORMAR QUE EN LA ARTERIA JACINTO DIAZ 2177 DE LA LOCALIDAD DE SAN ISIDRO SE ENCUENTRA UNA RAMA DE MEDIANO PORTE CON RIESGO DE CAIDA Y TAMBIEN HAY CABLES. SE DESPLAZO LA UNIDAD DE DEFENSA CIVIL A CARGO DEL AGENTE SAMUDIO NICOLAS QUIEN A SU ARRIBO INFORMO  EN LA ARTERIA JACINTO DIAZ  2162 SE ENCUENTRA UNA RAMA MEDIANA PARTIDA COLGANDO DEL ARBOL, PROCEDIERON A REALIZAR VALLADO PREVENTIVO QUEDANDO MEDIA ARTERIA CORTADA, AGREGO QUE NO HAY CABLES CON RIESGO."
Arbolado Urbano,"Vecina solicita reparación de la vereda luego del recorte de raíces realizado, tiene solicitud por recorte de raíces con el numero 831860
INFORME TECNICO CAROLINA 27/11/24: Reparacion de vereda y plantera"
Arbolado Urbano,"Por medio del Expte.7281/2022, vecino solicita recorte de raices de dos ejemplares que tiene en su vereda y los cuales provocan daños en la misma."
Arbolado Urbano,"RR debido a que esta dañando la vereda
23/4/25:El ejemplar fue relevado, el equipo técnico lo analizó y determinó que la intervención será incluida en el Plan Integral de Arbolado. Desde mediados de 2024 se realizaron más de 4000 podas, más de 1400 plantaciones, más de 2000 extracciones de árboles secos o en mal estado fitosanitario, y se repararon más de 200 frentes que requerían recorte de vereda. "
Arbolado Urbano,"Vecino solicita balanceo de un ejemplar luego de hacerse recorte de raices. Trabajos autorizados por el ingeniero ""Informe Ing. Sencio. Rb de limpieza x 2 Ficus con 3ra grúa."" Reporte 905569."
Arbolado Urbano,"corrientes 698.solicita reparación de vereda por corte de raices realizado, el trabajo se hizo sobre necochea. Le sacaron las raíces y quedo pendiente la vereda, hace 2 años. 
iNFORME TECNICO CAROLINA 24/10/24:Rep. Vereda hormigon
"
Arbolado Urbano,"Necesito que corten las raíces de los árboles del frente de mí domicilio que me levantaron toda la vereda. También solicito me reparen la vereda que las raíces destruyeron.
Informe Ing. Alejandro Sencio  01/02/23 Rb de limpieza y RR x 2 Fresnos con grúa 15 mts.
info caro 14/1: RQ - rama quebrada, poda

 "
Arbolado Urbano,"Vecina solicita recorte de raices, manifiesta que son peligrosas.-"
Arbolado Urbano,"Vecino informa de un ejemplar muy inclinado que esta descalzado.
info romina 14/1.Se procedio a realizar la poda solicitada pero se detecto pudricion en ramas primarias y fuste, extraccion urgente"
Arbolado Urbano,vecina pide reparacion de su vereda que se encuentra en mal estado devido a las raices del arbol. ya tiene reclamos hechos anteriores por la misma situación
Arbolado Urbano,VECINA SOLITA PODA DE ALTURA Y RECORTE DE RAIZ
Arbolado Urbano,"Pino de gran altura cada vez mas vencido por socabado de la tierra con peligro de caida, levantamiento de la vereda cada vez mayor en cada tormenta que hay.-"
Arbolado Urbano,Real 1924.  Vecina manifiesta que las raíces de los arboles rompen la vereda y los caños de agua.
Arbolado Urbano,Vecina solicita reparacion de la vereda luego del recorte de raices realizado. Tiene reclamo anterior 913123
Arbolado Urbano,vecina informa que las veredas de su domicilio se encuentra en mal estado debido a las raices del arbol.
Arbolado Urbano,Vecino informa que su árbol esta arrojando líquidos
Arbolado Urbano,Se solicita raleo de raíces por un ejemplar que levanta la vereda en la salida del garage.
Arbolado Urbano,"Hola.En la vereda de nuestra casa hay dos ejemplares de árboles , que no sabemos que son, desde que nos mudamos a este domicilio los mismos estaban en bastante malas condiciones, tratamos de recuperarlos pero no tuvimos éxito. Aparentemente parece que uno ya esta seco y el otro va por el mismo camino. Queríamos saber cual es el procedimiento a seguir, si nosotros los sacamos y colocamos otros o si se hace cargo el municipio..Desde ya muchas gracias..Saludos."
Arbolado Urbano,"vecina solicita recorte de raiz y poda. 
Informr tecnico Occhipinti 31/10/24:repetido el reclamo

"
Arbolado Urbano,santa fe 430.solicita corte de raices por vereda en mal estado
Arbolado Urbano,"En la vereda hay un tilo grande y sus raíces rompieron la vereda. Necesitamos que se solucione el problema cuanto antes pues el daño se sigue agrandando. Muchas gracias
informe carolina 15/11/2024: Corte de raices y reparacion de vereda"
Arbolado Urbano,solicita recorte de raíces y liberación de domicilio ramas que ingresan a su casa
Arbolado Urbano,"Real 861. Vecino solicita la reparación de la vereda ya que fue realizado el recorte de raíces , tiene el expediente 9196/2022"
Obras Públicas,El incidente #3382506 NO se ha sido solucionado. Sigue habiendo agua. Adjunto fotos y video
Arbolado Urbano,Blas parera 381.árbol levanta demasiado la vereda
Arbolado Urbano,"Vecina solicita reparacion de la vereda luego de la extraccion de un arbol. Tiene reporte por extraccion con numero 708647.
INFORME ING. SENCIO 23/11/24: recorte de raiz y reperacion de vereda. parche 6 mts."
Arbolado Urbano,Vecina solicita liberacion de cables por un ejemplar.
Arbolado Urbano,vecina solicita extracion
Arbolado Urbano,Real 2225. Vecina manifiesta que tiene 2 árboles sobre su frente cuyas raíces levantan y rompen la vereda de su domicilio.
Arbolado Urbano,"recortar las raices, esta levantando la vereda, me da miedo que se caigan y se lastimen."
Arbolado Urbano,Vecina reitera reporte por raleo de raices(levantan vereda y se cae la gente) Reporte 870610
Arbolado Urbano,"Vecina solicita liberacion de cables por una palmera frente a su domicilio. Comenta ademas que hay varias hojas invadiendo su techo. 
INFORME TECNICO GIANNA 23/1/25: NO REQUIERE INTERVENCION"
Arbolado Urbano,"Se solicita lieberación de cables por un ejemplar que afecta la bajada de luz, dejando sin luz al domicilio.
"
Arbolado Urbano,"arbol de moras inclinado, riesgo de caer. Solicita con ur

gencia revision.
Informe Ing. Sencio. 19/08/202. Real: Estanislao Diaz 82. Tareas a realizar: 
Rb de limpieza x Mora
INFORME ING. SENCIO 04/11/24:raleo y balanceo de limpieza leve "
Arbolado Urbano,"Vecina solicita extracción de forestación, manifiesta que inade propiedad de vecinos y rompe vereda.-
INFORME TECNICO CAROLINA 15/11/24; Reparar vereda y plantera"
Arbolado Urbano,Se solicita raleo de raíces por un Ficus (muy grande) que lenvanta la vereda .
Arbolado Urbano,"Se solicita raleo de raíces por un ejemplar que levanta la vereda y rompió caño de desague pluvial del domicilio , esta obstruido y se filtra el agua al interior cuando llueve. Desde ya muchas gracias por su gesrtión."
Obras Públicas,"Vecina manifiesta que las cuadras se encuentran llena de baches, solicita por favor que las reparen. Desde el 800 al 1000"
Arbolado Urbano,"Por medio del Expte.7480/2022, vecina solicita reparacion de vereda por extraccion de un arbol."
Arbolado Urbano,"hace dos semanas le hicieron RR numero de reclamo 3297154, solicita reparacion de vereda-"
Arbolado Urbano,"Sobre el frente de mi caza, en toda la extensión, hay 3 árboles que están parcialmente secos, infectados de clavel del aire y podridos. 
Ya no florecen y brotan poco, dado que son árboles enfermos.
El plan anual de poda termina mañana 30/9 y no han trabajado en mi cuadra.
Además uno de ellos está levantando toda la vereda. 
Solicito por favor el retiro de esos tres árboles y el reemplazo por ejemplares nuevos, idealmente variedad LIQUIDAMBAR sino reemplazo de los mismos Jacarandá."
Arbolado Urbano,"Vecino solicita reparacion de la vereda luego de un recorte de raices realizado por el municipio. Tiene expedientes iniciados con numero 11697/2019 y 1972/2020. Reclamo realizado de manera presencial en San Isidro Cerca Plaza Alsina. 
INFORME ING. SENCIO 30/12/24: recorte de raices superficial y reparacion de  vereda hormigón. 24 mts.  
Vereda de intendentet becco 612. "
Arbolado Urbano,Vecina solicita reparacion de vereda luego de un recorte de raices. Tiene reclamo por RR autorizado 592793. 
Arbolado Urbano,"En el frente de Godoy Cruz 1555, hay un paraíso muy añoso (grande) seco desde hace un par de años, me dirijo a ustedes para solicitar su tala ya que en el estado en que se encuentra se va a caer sobre algún vehiculo o persona en cualquier tormenta o viento fuerte.  Gracias"
Arbolado Urbano,Vecina solicita reparacion de vereda luego del recorte de raices realizado. Tiene reclamo previo por reparacion 748041. 
Arbolado Urbano,"Se solicita raleo para liberación de auxiliar de vereda , no alumbra bien ."
Arbolado Urbano,Vecina solicita recorte de raices por dos ejemplares que dañan mucho la vereda.
Arbolado Urbano,Vecina solicita recorte de raices por un ejemplar que levanta la vereda en la zona de la cochera. 
Arbolado Urbano,Se solicita liberación de lumionaria por un ejemplar .
Arbolado Urbano,Recorte de raices por levantamiento de vereda
Arbolado Urbano,"Vecino solicita reparacion de vereda luego de un recorte de raices, Tiene reclamo anterior con numero 735535. "
Arbolado Urbano,La vecina se presentó en el Operativo San Isidro Cerca realizado en Martinez Oeste para solicitar la liberación de luminarias del ejemplar ubicado frente a su domicilio
Arbolado Urbano,"le hicieron Recorte de raices antes de la pandemia, solicita reparacion de vereda
Informe tecnico iNG. Sencio 16/10/24:REPARACION DE VEREDA"
Arbolado Urbano,"rodriguez peña 417/439
solicita corte de raices por vereda en malas condiciones "
Arbolado Urbano,"En febrero de 2020 iniciaron corte y eliminación del paraíso de la vereda que estaba ya muerto y caían las ramas sobre la vereda. Dejaron el trabajo por la mitad. Nunca mas volvieron a sacar el árbol. Tiene pedazos de cemento a punto de desprenderse en el tronco. Solicito extracción total del árbol, con sus raíces para poder plantar un nuevo árbol. Reclamé varias veces en la sede de la Municipalidad en Martinez pero nunca accedieron a mis reclamos. Gracias!
Informe Ing. Sencio. 03/04/2024. Real: Necochea 1549. Solicitud: Extracción x 1 árbol seco pedida desde febrero 2020. Tareas a realizar: Descope x Paraíso seco y en mal estado.  
"
Arbolado Urbano,"vereda levantada y rota por las raíces de los arboles,peligro para los transeguntes.
Informe Ing. Sencio. 19/04/2023: Rb de limpieza y RR x 2 Fresnos con grúa 15 mts.

"
Arbolado Urbano,Vecina se acercó al Operativo San Isidro Cerca realizado en el Golf de Villa Adelina para solicitar el recorte de raices del arbol de su frente x rotura de vereda
Arbolado Urbano,Solicita que verifiquen dos arboles del lugar que rompio todo el cordon y esta rompiendo la calle. 
Arbolado Urbano,"Vecina solicita extracción por 1 Ficus que según nos comenta las raíces estarían levantando la vereda, como así también se encontrarían cerca del caño de salida pluvial.
Se procede a cargar R/R ya que la problemática por la que se comunica la vecina es por raices."
Arbolado Urbano,Ya hice un reclamo hace aprox 2 años por las raices del arbol que tengo en la puerta de mi casa. Me levanto la vereda y necesito arreglarla.
